label,text
108,tucanos viram atracao em quintal de professor de tapiratiba sp aves podem ser vistas com frequencia em castanheira e palmeiras que jose alencar mantem no quintal
108,a pedido de noivos padres fazem selfies apos celebracoes de casamentos no centrooeste de minas autorretratos fazem o momento se tornar mais descontraido
108,alimentacao especial para caes e gatos ganha mercado em teresina os animais ficam mais felizes e espertos diz veterinaria sobre comidinhas especiais para os bichos de estimacao
108,policia faz operacao contra trafico de drogas e doria diz que cracolandia acabou acao teve  presos usuarios tambem foram atingidos pela operacao e na dispersao imoveis da regiao foram invadidos e carros tiveram vidros quebrados
108,em discurso trump apela a lideres muculmanos por luta contra o radicalismo islamico na arabia saudita presidente se afastou da retorica dura adotada em campanha nao e uma batalha entre diferentes religioes mas entre o bem e o mal afirmou
108,gato estudante acumula titulos de melhor aluno em faculdade de sp branco frequenta aulas da fatec rubens lara em santos ha  anos
108,policia faz operacao contra trafico de drogas e doria diz que cracolandia acabou acao teve  presos usuarios tambem foram atingidos pela operacao e na dispersao imoveis da regiao foram invadidos e carros tiveram vidros quebrados
108,cachorro da raca dachshund pratica voo livre com parapente em alagoas charlie costuma acompanhar com frequencia o dono nas aventuras aereas animal passou por treinamentos antes de voar
108,casal abandona vida confortavel e realiza sonho ao iniciar volta ao mundo em um veleiro eles partem do guaruja  neste fim de semana o objetivo e nao ter pressa e ser mais feliz
108,irma de kate pippa middleton se casa na inglaterra e principes george e charlotte roubam a cena casamento aconteceu neste sabado convidados foram proibidos de postar em redes sociais
108,estudante agredido em protesto tem alta apos segunda cirurgia em goiania mateus ferreira teve que fazer um preenchimento para corrigir uma perda ossea na testa ele foi atingido por um cassetete de um policial militar
108,enfermeira faz exposicao com books fotograficos de gravidas carentes gislaine gonzaga comecou o projeto para aumentar a autoestima de gestantes de baixa renda fotos estarao expostas neste sabado  das h as h em goiania
108,astronomos da usp descobrem por que regiao do sol e habitavel em nossa galaxia segundo estudo o sol fica exatamente entre dois bracos espirais e gira na mesma velocidade que eles por isso nao corre o risco de cruzalos o que seria catastrofico
108,gatinhos sobrevivem a viagem de  km entre polonia e inglaterra filhotes de  semanas de idade vao ser colocados para adocao
108,garota sonha em ser bombeira e faz fotos de  anos em quartel de ms evelyn alves escolheu quartel de campo grande depois de participar do projeto bombeiros do amanha voltado para adolescentes
108,grupo fecha rua de escritorio do pmdb para barrar saida de caminhao com caixas manifestantes foram ao local em brasilia apos fotos com caixas sendo carregadas em um caminhao de mudanca circularem em redes sociais policia federal foi deslocada para regiao
108,whatsapp agora permite fixar conversas no topo da lista de mensagens recurso foi lancado para todos os aparelhos android nesta quinta  e possivel fixar ate tres conversas com grupos eou pessoas
108,maior gato do mundo viraliza e espera por recorde mundial na australia felino mede  m pesa  kg e pode estabelecer nova marca no guinness atual recordista mede apenas  m
108,indiana centenaria faz sucesso com canal de culinaria no youtube mastanamma faz do campo sua cozinha e utiliza lenha para preparar a comida seu canal de videos criado pelo bisneto ja tem mais de  mil inscritos
108,grupo faz ato em frente ao planalto apos revelacao de denuncias contra temer pm usou spray para recuar manifestantes ate a praca dos tres poderes protesto se baseia em denuncias reveladas pelo jornal o globo de que temer teria dado aval para comprar silencio de cunha
108,cao fiel abraca dono apos acidente na argentina e conquista internet tony nao saiu do lado de seu dono que ficou desacordado apos cair de arvore
108,facebook comeca a esconder links que possam ser cacaclique ideia e enfraquecer postagens que omitem eou exageram detalhes de uma historia diz greg marra do facebook em entrevista exclusiva ao g brasil esta entre novos paises que testam recurso
108,transgeneros se unem para formar time de futebol e familia em sp meninos bons de bola treinam aos domingos e trocam ideias sobre namoro tratamento hormonal e cirurgias nesta quarta  e celebrado o dia internacional da luta contra homofobia e transfobia
108,aluna de escola publica inventa monitor cardiaco para sonambulos em projeto de iniciacao cientifica nathalia souza desenvolveu prototipo que sera testado em pacientes com ajuda de empresa estrangeira
