180562885329138_1658270394225039,112,em  h  chove quase o esperado para todo o mes de junho  diz cge capital teve   mm de chuva  media prevista para o mes de junho e de   mm
180562885329138_1656856184366460,294,cientistas descobrem planeta mais quente ja encontrado  com   mil oc nivel de radiacao estelar ultravioleta e tao alto que atmosfera esta sendo removida  descoberta foi publicada pela revista  nature
180562885329138_1651112174940861,1519,maior aviao ja construido no mundo sai de hangar nos eua aviao foi criado para colocar foguetes em orbita  aeronave tem duas fuselagens  unidas por uma asa de   metros
180562885329138_1648609615191117,18,voos sao cancelados no santos dumont devido a nevoeiro nesta terca ate as  h    tinham sido cancelados por causa da falta de visibilidade  aeroporto operava por instrumentos para pousos e decolagens
180562885329138_1648068475245231,241,gelo combustivel  a promissora fonte de energia que a china extraiu do fundo do mar imensa reserva energetica de hidratos de metano poderia substituir o petroleo e o gas natural  pais asiatico deu grande passo ao extrair grandes quantidades do composto
180562885329138_1646983462020399,5689,jovem arrisca  selfie  com cobra anaconda em rio no am  e foto viraliza postagem ja passa das   curtidas no facebook
180562885329138_1645661578819254,45,queda do sistema da british airways causa atrasos em nivel mundial e cancela voos de acordo com a empresa  nao ha indicios de que a falha tenha sido causada por ciberataques
180562885329138_1644202428965169,634,sinal de sos com pedras em regiao remota intriga policia na australia autoridades nao encontraram  qualquer vestigio de atividade humana recente  no local
180562885329138_1643200769065335,520,mulher e salva  por celular  no atentado em manchester lisa bridgett estava falando no telefone no momento da explosao  porca em alta velocidade decepou um dedo e furou sua bochecha  antes de atingir o aparelho
180562885329138_1639903942728351,11948,esmeralda gigante de   kg e achada no norte da bahia pedra foi localizada por cooperativa  na cidade de pindobacu  e vendida para minerador na regiao
180562885329138_1639032532815492,172,alpinista indiana escala o everest duas vezes em uma semana anshu jamsenpa  de   anos  chegou neste domingo   pela  a vez ao topo da montanha e estabeleceu novo recorde
180562885329138_1632211280164284,1195,asteroide que dizimou dinossauros nao poderia ter caido em pior lugar como a historia do planeta poderia ter mudado se a rocha espacial tivesse caido num local diferente
180562885329138_1632085443510201,3341,video  criatura gigante e encontrada na indonesia e moradores tentam desvendar misterio pesquisador acredita que se trata de uma baleia morta  inchada pelos gases de decomposicao
180562885329138_1629039927148086,246,caminhao cai de ponte  e motorista sobrevive a queda de quase   metros no parana acidente aconteceu na br  em telemaco borba  na noite de sexta feira
180562885329138_1629173463801399,38,veja perguntas e respostas sobre o ciberataque que afetou quase cem paises g  explica o que se sabe e o que ainda nao foi respondido em relacao ao ataque que  sequestrou  computadores ao redor do mundo nesta sexta feira
180562885329138_1628129013905844,55,o  ciberataque em massa  pode ter afetado meu computador ou celular o ataque do virus
180562885329138_1627609790624433,1479,atencao  saiam de fininho  voces estao remando ao lado de   tubaroes brancos em helicoptero  policia aconselhou pessoas que faziam stand up paddle a sair com calma da agua
180562885329138_1627019880683424,368,motociclista tem ferimentos leves apos seu corpo pegar fogo em colisao com caminhao na china video mostra acidente e resgate do motociclista
180562885329138_1626728377379241,501,descoberta de jazida de ametistas atrai centenas de pessoas a cidade no norte da bahia pedras preciosas sao extraidas na cidade de sento se  onde o quilo e comercializado por ate r    mil
180562885329138_1621762747875804,416,sucuri de aproximadamente   metros e flagrada em rodovia no acre video do animal a margem da estrada viralizou nas redes sociais  biologo diz que animal poderia estar tentando se aquecer
180562885329138_1615425135176232,964,motorista sobrevive apos carro ficar prensado entre carretas na bahia  fotos impressionam acidente aconteceu na br  trecho do distrito de jose goncalves  em vitoria da conquista  sudoeste do estado
180562885329138_1613528245365921,872,a historia da argentina que sobreviveu a tres naufragios desastrosos   incluindo o do titanic violet jessop ganhou o apelido de  miss inafundavel  e trabalhou quase a vida toda em embarcacoes
180562885329138_1611975062187906,288,aviao faz pouso de emergencia e sai na pista em aeroporto na florida voo decolou de belize e fez pouso no aeroporto de sarasotabradenton  nos eua  aeronave soltou faiscas e chegou a sair da pista
180562885329138_1608120915906654,1476,exame confirma que pedra achada em fazenda de cacapava do sul e um meteorito o objeto mede   centimetros de largura e pesa   quilos  rocha estava em fazenda na regiao central do estado ha mais de   anos
180562885329138_1607072429344836,230,jiboia de   metros e resgatada em quintal de casa em patamares o animal foi levado para o centro de triagem para animais do ibama  onde sera examinado e preparado para voltar a natureza
180562885329138_1605739809478098,2378,aos   anos  professora de ioga indiana impressiona com flexibilidade nanammal amma e a matriarca de tres geracoes de iogues e diz ter otima saude gracas a pratica diaria
180562885329138_1602604429791636,505,o estranho mamifero capaz de viver   minutos sem oxigenio de sangue frio  ele nao tem olfato e e imune ao cancer  conheca o roedor que surpreende cientistas por sobreviver com um sistema metabolico so encontrado em plantas
180562885329138_1599083256810420,3685,o vovo esta dormindo  o povo que vive com parentes mortos em casa pouca gente gosta de falar ou pensar sobre a morte  mas  em uma regiao da indonesia  os mortos participam do dia a dia da populacao
180562885329138_1599034076815338,545,cientistas criam objeto com  massa negativa  que desafia as leis da fisica fisicos criaram fluido que se move na direcao contraria a forca que o  empurrou
