180562885329138_1661004683951610,1735,destrocos de aviao desaparecido e corpos sao encontrados no oceano indico  diz marinha de mianmar aviao continha   pessoas a bordo  entre elas familiares de militares  inclusive criancas
180562885329138_1659698310748914,150,corpo e encontrado no rio tamisa durante busca por vitima francesa do atentado de londres de acordo com a policia metropolitana de londres  o numero de vitimas do atentado subiu para oito pessoas
180562885329138_1659695297415882,9868,cachorra morre soterrada apos  alertar  e salvar familia de deslizamento de casa dona de imovel em votorantim conta que pouco antes do acidente menina   como era chamada   latia sem parar  sobrinho da mulher que estava com o animal saiu ileso
180562885329138_1658104460908299,875,divorcio conflituoso de pais prejudica saude de filhos por decadas  diz estudo para o estudo  adultos saudaveis foram expostos a virus que causa resfriado  aqueles cujos pais passaram por separacao traumatica tinham   vezes mais risco de adoecer
180562885329138_1658308387554573,1328,ataque terrorista em londres  veja quem sao as vitimas atentado deixou   mortos e pelo menos   feridos no ultimo sabado
180562885329138_1658352300883515,385,sobe para   mil o no de afetados pelas chuvas em sc  situacao deve piorar  conforme defesa civil rio do sul e a cidade em situacao mais critica  com mais de   pessoas em   abrigos
180562885329138_1658016210917124,3929,nao desejo essa dor nem para os pais do agressor  diz mae de jovem morto com taco de beisebol eliton torres foi agredido com dois golpes e teve ombros  dentes  cranio fraturados  segundo a mae do rapaz  ele morreu tres dias depois no hospital
180562885329138_1656732074378871,728,quatro maneiras como a pobreza pode afetar o cerebro neurociencia tenta estabelecer vinculo direto entre situacao precaria de vida e deterioracao cerebral
180562885329138_1657160301002715,43,imagem mostra criancas debaixo da mesa durante tiroteio no alemao  rio confronto ocorria no inicio da tarde desta segunda feira   na localidade conhecida como casinhas  rjtv mostra que comunidade teve   mil mortes violentas em   anos
180562885329138_1656845067700905,852,chuva prejudica familias na zona rural de reserva do iguacu pelo menos   casas foram atingidas na vila carvoeira  no domingo
180562885329138_1657265050992240,1896,sem salario  primeiro bailarino do theatro municipal vira motorista para sobreviver filipe moreira se tornou motorista de uber para obter dinheiro e pagar as contas  atualmente  cerca de   mil servidores do estado do rj estao sem pagamento
180562885329138_1656840894367989,5021,irma de menina abusada e morta por padrasto se emociona com homenagem em vitoria um memorial foi construido em homenagem a araceli  morta ha   anos  e a fabiane isadora  assassinada no dia   de maio  espaco representa a luta pelo combate a exploracao sexual infantil
180562885329138_1656819151036830,1144,apesar de decisao judicial  bebe nao consegue vaga em cti no rio miguel  de oito meses  sofre de microcefalia e problemas no coracao  crianca esta internada em hospital particular  mas pais nao tem dinheiro para pagar
180562885329138_1655905507794861,2071,rapaz e levado por correnteza apos salvar amiga que se afogava em rio do df buscas para achar jovem de   anos comecaram por volta das  h  bombeiros continuavam tentando localiza lo ate ultima atualizacao desta reportagem
180562885329138_1656095781109167,1793,episodio isolado de descontrole  diz tio de andreas richthofen apos surto irmao de suzane richthofen foi detido por policiais militares depois de invadir imovel em sp  ele esta internado em clinica psiquiatrica na zona oeste da capital paulista
180562885329138_1656029637782448,2653,canadense que se mudou para londres com o noivo esta entre as vitimas de ataque chrissy archibald trabalhava em um abrigo para pessoas sem teto no canada
180562885329138_1655690281149717,190,milhares de pessoas reunem em hong kong para lembrar massacre na praca da paz celestial quase tres decadas apos massacre  autoridades chinesas proibem lembrancas publicas do evento e nunca divulgaram numero oficial de mortos
180562885329138_1655353761183369,88,policia de londres prende   pessoas apos ataque terrorista buscas se concentram em barking  na regiao metropolitana de londres  atentados na capital deixaram sete mortos e   feridos
180562885329138_1655253604526718,526,may diz que muitos dos feridos estao em estado critico e atribui atentado ao extremismo premie britanica fez pronunciamento apos reuniao com o comite de seguranca  em londres  capital britanica foi alvo de ataques terroristas na noite de sabado
180562885329138_1654210411297704,1383,morre bebe de gravida atingida por bala perdida na baixada fluminense medicos fizeram o parto  mas a crianca  que nasceu com pouco mais de   quilo  nao resistiu  mae permanece internada em estado grave  mas estavel
180562885329138_1653961647989247,234,corpo de mineiro encontrado morto na fronteira de mexico e eua chega a belo horizonte fabricio da silva santos tentava entrar ilegalmente nos eua  corpo dele foi encontrado em rio no dia   de maio
180562885329138_1652970208088391,375,sobe para seis o numero de mortos em pernambuco devido as chuvas o corpo de uma mulher foi encontrado na tarde desta sexta feira   em caruaru  mortes tambem foram registradas em lagoa dos gatos  no agreste  e recife
180562885329138_1653330421385703,5633,jovem de   anos foi queimada viva por divida com trafico  diz policia de brusque  sc corpo de roberta keller foi encontrado na quarta feira   em matagal do municipio  quatro pessoas foram presas
180562885329138_1652766871442058,1846,morte de tim lopes completa   anos sete criminosos foram presos e condenados a ate   anos de cadeia  eventos lembrarao a memoria do jornalista e a importancia da liberdade de imprensa
180562885329138_1652447854807293,815,cidades de alagoas e pernambuco estao em emergencia ao mesmo tempo por seca e chuva antes afetados pela falta de agua  municipios agora tem que lidar com prejuizos por causa das enchentes
180562885329138_1649932701725475,2660,desemprego fica em   em abril e atinge   milhoes de brasileiros taxa e medida mensalmente pelo ibge por meio de media trimestral  indice caiu em abril em relacao a marco  na  a queda desde   mas e maior do que o registrado em abril de   de
180562885329138_1649867645065314,4294,com despesa mensal superior a r    mil  abrigo com   caes e gatos corre risco de fechar em salvador campanha nas redes sociais tenta arrecadar doacoes e manter o abrigo sao francisco de assis em funcionamento
180562885329138_1649830485069030,167,familias permanecem morando em area onde barreira destruiu casas em maceio onze casas foram interditadas pela defesa civil  mas muitas pessoas dizem que nao tem para onde ir  sete pessoas morreram e duas continuam desaparecidas  mais de   mil deixaram suas casas
180562885329138_1649799108405501,594,explosao em bairro de embaixadas em cabul mata ao menos   e fere mais de predios das embaixadas da alemanha  da franca e da turquia foram atingidos nenhum grupo reivindicou o ataque  mas o taliba negou qualquer envolvimento
180562885329138_1649196008465811,5938,em palmares  moradores disputam comida estragada por lama da chuva situacao aconteceu na segunda   quando as aguas das chuvas baixaram e supermercados jogaram fora alimentos que foram atingidos pela enchente
180562885329138_1649275475124531,27316,irmao de suzane von richthofen e internado em ala psiquiatrica de hospital em sp segundo boletim medico  andreas von richthofen chegou a unidade escoltado por pms apos invadir imovel na zona sul  a noite  andreas teve autorizada a transferencia para um hospital psiquiatrico
180562885329138_1648733715178707,44454,gravida morre a caminho do hospital apos engavetamento com   veiculos em ribeirao preto colisoes ocorreram apos congestionamento causado por tombamento de caminhao de suco de laranja na rodovia anhanguera  outras sete pessoas ficaram feridas
