value
"Acidente aconteceu no aeroporto de Los Angeles   "
"Lacres dos alimentos haviam sido rompidos para acomodar a droga, segundo a polícia   "
"Estudo vai testar o vírus para combater o glioblastoma, forma mais comum e agressiva de tumor no cérebro   "
"Duas pessoas foram presas em Porto Alegre. Ação contra tráfico internacional de drogas também foi deflagrada em cidades do PR, SP e PA   "
"Forte chuva atingiu a cidade de São Paulo por toda a manhã   "
"Dou-lhe uma, dou-lhe duas, dou-lhe três...   "
"Depois não vá querer chorar se seu computador for atingido por um vírus...   "
"Segundo a PM, jovem de 20 anos estava agredindo a esposa quando foi baleado   "
"'Peguei o celular para usar como espelho e aproveitei pra gravar', contou a mãe   "
"Gravações fazem parte da delação premiada da JBS e acabam de ser divulgadas  OUÇA AQUI O ÁUDIO DE TEMER "
"Sem parâmetros, algumas corretoras chegaram a interromper as vendas    "
" Uma pessoa morreu após ser atingida por veículo em alta velocidade. Ao menos 10 pessoas receberam atendimento após o incidente   "
" - É a primeira vez que Bovespa suspende negócios em 9 anos; mercados estão em pânico após delações de irmãos da JBS; suspensão durou 30 minutos    "
"Você quer trocar a cor do WhatsApp em seu celular? Cuidado, é golpe  "
"Eles viveram até os 102, 107, 109 e 110 anos     "
"Android O consegue rodar dois aplicativos ao mesmo tempo na tela     "
"Falta de tempo, de vontade ou problemas de saúde foram as justificativas dadas pelos entrevistados. De qual lado da estatística você está?   "
"Presidente russo declarou que só depende do governo americano   "
" - alcance ainda é desconhecido, dizem analistas em segurança, mas ataque desta quarta-feira estaria vinculado ao 'Wannacry'     "
"Comprador até mudou o nome dessas pedras preciosas     💠"
"Aos 22 anos, ele resolveu tudo do computador do seu quarto; a mãe, orgulhosa, queria gritar para o mundo o feito. Leia a 1ª entrevista do jovem que tem sido chamado de herói    "
"Eles afirmam que 'não foi o tamanho do asteroide, a escala da explosão ou seu impacto global que levou à extinção dos dinossauros; foi onde o impacto ocorreu'    "
"Moradores e especialistas tentam entender qual é a espécie; pescador que viu animal achou, de longe, que fosse um barco   "
"Vírus é uma variável do ransomware, que bloqueia o acesso aos dados do computador até que seja paga uma quantia em dinheiro   "
"Conhece alguém que vai prestar vestibular? Marca aqui 📖   "
"Confira o resumo com as principais notícias desta segunda-feira   "
"Segundo o Washington Post, informações sobre ameaça do grupo Estado Islâmico pode por em risco fonte de inteligência. Secretário de Estado nega  Entenda: "
"Ataque deixou 200 mil vítimas em 150 países   "
"Aos 81 anos, idosa dá exemplo de vontade e vitalidade. Sua última aventura? Ter pulado de paraquedas    "
"Banco Central divulga 'Prévia' do PIB do primeiro trimestre. Receita paga restituições de lotes residuais do Imposto de Renda.   "
"Os governos do mundo devem tratar este ataque como um aviso, disse a empresa. Falha no Windows foi utilizada por hackers para espalhar vírus.   "
"Aos 13 anos, ela teve gêmeos. Depois, como ela diz, foi um atrás do outro. 'Eu batalhei muito, mas valeu a pena'     "
"Se sentido com sorte? Ninguém acertou os seis números sorteados neste sábado, 13. "
"Tudo isso por causa de uma passagem do Papa Francisco por Portugal. Entenda   "
"Tá confuso? G1 explica o que se sabe e o que ainda não foi respondido em relação ao ataque que 'sequestrou' computadores ao redor do mundo.   "
"Onda de ataques hackers ainda afetava empresas pelo munto neste sábado; entenda   "
"Leia detalhes       "
"Objetos retirados durante a cirurgia encheram meia sacola de supermercado 😲🐶  "
"O WannaCryptor, vírus utilizado no ataque, funciona apenas em computadores com o Windows    "
"Quem usa versões antigas e não atualizadas do Windows está mais vulnerável   "
"Decisão foi por prevenção. Veja mais detalhes do ataque que afetou 74 países, segundo uma empresa de segurança  "
"Ataques acontecem em 74 países com 'vírus de resgate' que exige dinheiro, diz empresa de segurança   "
"Segundo a agência de notícias Reuters, diversas empresas espanholas foram vítimas do ataque   "
"⚠ Foi assim, de um helicóptero, que policial fez alerta a banhistas. Mas, gente? Olha aí   "
"Venda começa nesta sexta-feira no Brasil; G1 faz um pequeno 'duelo de gigantes' para você saber a diferença entre o novo modelo da Samsung com um Apple     "
"Docente possui diversos prêmios e foi o único brasileiro a concorrer ao 'Global Teacher Prize', considerado o Prêmio Nobel da Educação. Ele é categórico em sua defesa: 'Eu estudei'   "
"Descoberta gerou corrida para explorar a região. O quilo das pedras chega a vendido por até R$ 3 mil.  "
"Chevrolet Onix foi reprovado em avaliação de segurança em batidas; Chevrolet afirma que segue 'requisitos locais de segurança'   "
"Com projeto, ele diz querer chamar a atenção para a obesidade    "
"Apesar do volume maior de cadastros, o número de pontos que os usuários acumularam em 2016 foi praticamente o mesmo de 2015. Você é adepto? Leia mais "
"Lula x Moro, Civic x Corolla, a morte de Nelson Xavier e mais...   "
"Presidente americano surpreendeu os EUA ao anunciar demissão     "
"O antisséptico é comum no país, mas deixa manchas e tem potencial de causar danos à saúde   "
"Jaqueline confessou o crime, mas alegou legítima defesa  Leia mais: "
"Em vídeo, ela diz que estava 'apavorada' e tentou se defender das agressões do namorado: 'Ele, mesmo esfaqueado, veio para cima de mim'; polícia trabalha com outra hipótese     "
"Uma das mais famosas aquisições de Eike era cenário de festas e eventos badalados no Rio    "
"Flagrante em pleno trânsito foi feito na manhã desta quarta-feira; veja vídeo     "
"Animais escaparam de parque     "
"Segundo a Casa Branca, James Comey foi removido do cargo depois de recomendações do procurador-geral Jeff Sessions   "
"Confusão por causa de barulho acabou em facada. Entre os envolvidos na briga estava a cantora da banda Vingadora, Tays Reis   "
"Continuação do clássico de 1982 estreia no dia 5 de outubro no Brasil   "
"Carro está em nome de concessionária e motorista não foi identificado   "
"Atos em Paris eram contra Le Pen e Macron, novo presidente da França    "
"Empresário é acusado de mandar matar um líder comunitário que ocupava um terreno dele  "
"Vídeo do bichão circulou nas redes sociais :O  "
"O enorme complexo está em um local ensolarado ao pé da cordilheira do Atlas, a 10 km de Ouarzazate, no Marrocos.    "
"Provas ocorrem neste domingo  no Acre. Cargo mais concorrido é o de agente de Polícia Civil, com pouco mais de 52 candidatos por vaga.    "
"Invenção é de garoto mexicano de 18 anos que teve ideia depois que a mãe teve a doença. A peça que monitora a temperatura das mamas ainda precisa passar por testes.    "
"🍀 Confira as dezenas sorteadas 🍀   "
"Macron e Le Pen disputam eleição presidencial neste domingo   "
"Segundo a Polícia Rodoviária, homem ficou gravemente ferido e passará por cirurgia após acidente em Araçatuba.  "
"Desconfiadas da doação tãããão generosa, voluntárias procuraram a dona e devolveram o dinheiro.   "
"Segundo a PM, assaltantes passaram a noite escondidos, entraram nas lojas pelo forro do teto e levaram roupas e telefones celulares.  "
"Só falta um detalhe para comprovar que o carro é o mesmo que sumiu em 1994   "
"Juan Pedro Franco, de 32 anos, chegou a  pesar quase 595 kg e já perdeu 175 kg para poder passar por cirurgia.  "
"Vítima foi socorrida por pessoas que passavam pelo local no momento em que ocorreu o acidente   "
"São 8 modelos de carros; veja se o seu está na lista      "
"Principal suspeito pode ter lucrado R$ 1 milhão     "
"Rainha Elizabeth II continuará com sua agenda de compromissos reais, informou o Palácio de Buckingham.  "
"Caso foi revelado esta semana pela 'CNN'    "
"A temperatura no compartimento varia de 80ºC a 90ºC. 😲 "
"Ele também toma decisões por conta própria para evitar acidentes. É o futuro da lavoura?  "
"Ele é suspeito de participar de sequestros e tem quatro mandados de prisão preventiva   "
"Todos ficaram bem, mas ainda assim vídeo com avião caindo assusta    "
