value
"Vítima está internada com queimaduras em 80% do corpo, segundo o governo venezuelano. Ataque ocorreu durante ato contra o presidente Nicolás Maduro.   "
"Bruna afirmou que tem medo de voltar para casa e ser internada novamente pela família   "
"Uma médica, um dentista e um cabeleireiro contam como foi viajar voluntariamente de Santa Catarina à Jordânia para atender refugiados   "
"Cecília foi o primeiro animal a receber um habeas corpus. Antes de ir para Sorocaba, SP, ela nunca tinha pisado na grama ou visto o céu   "
"Vítima saia de agência bancária de Cacoal, Rondônia:  "
"João Felipe de Moura, 20, confessou que tentou estuprar a jovem e que depois a estrangulou e jogou o corpo no rio. Ele se matou na cadeia.  "
"Isadora estava comendo pizza com os pais na Cobal do Humaitá quando desapareceu.   "
"Para não roer as unhas e ficar preocupado além do normal frente a uma situação estressante   "
"Para pesquisadora, o desaparecimento desses animais é o sinal de uma catástrofe maior  "
"Namorada de transexual diz que mãe da jovem a internou contra sua vontade e alegou problemas psiquiátricos   "
"Vocalista da banda Magazine estava internado mais de um mês após sofrer parada cardíaca   "
"Chris Cornell morreu na quarta  aos 52 anos   "
"O grunge parece fadado à tragédia 😢   "
"Resgate foi feito no Mediterrâneo     "
"Cantor morreu nesta sexta-feira     "
"Confira o resumo com as principais notícias desta sexta-feira   "
"Alimentado por turistas na Tailândia, Tio Gordo está com o triplo do peso adequado :(  "
"Vizinho ouviu choro e encontrou menino em plantação a 300 metros da casa da família   "
"Autor de atropelamento está preso e vai responder por 1 homicídio qualificado e 20 tentativas de homicídio   "
"Enzo, de 4 anos, foi levado por bandidos durante assalto ao carro da sua mãe em saída de hospital no Rio. Mãe conta o que sentiu ao encontrar o filho    "
"Ailes renunciou à presidência do canal no ano passado após ser acusado de assédio sexual pela ex-âncora da Fox News Gretchen Carlson  "
"Ainda em intensa atividade no universo pop, cantor americano morreu a dois meses de completar 53 anos. Leia texto do colunista Mauro Ferreira   "
"Ato começou pacífico e pedia realização de eleições diretas   "
"Especialista explica 'comportamento em manada' que causou a alta da moeda norte-americana, que chegou a R$ 3,38  "
"Milton Ponce Fernandes lutava contra um câncer  "
"Suicídio de Chris Cornell foi confirmado; ele fez homenagem para sua mulher três dias antes de morrer   "
